used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
46;03b7bead12c27d365a5d203b51f08c6f56e7969d.jpg;X;X;4;6
32;0fa5c05eae31f738f18880d00c3a20bc076cb495.jpg;X;X;3;2
135;170cc2c99908a5d4c18f309dfe244167e6416318.jpg;X;1;3;5
64;038a14bfbc6d31090df2e91417c145c81d5539bc.jpg;X;X;6;4
43;2070d727689039703659f2b4ac48078ffbcc1603.jpg;X;X;4;3
23;0d6a35ef676a39945e80a23dd3d55cb6e7dfcd0e.jpg;X;X;2;3
77;1592ac464bafa097332373b44a0bc0a21c2a66d2.jpg;X;X;7;7
213;1410261f0344e8a8f64ebfb77477c93ab1037145.jpg;X;2;1;3
45;1bfcede437f42a5d1aabc734dbe952f0ca0a95b1.jpg;X;X;4;5
51;045236fe4f5105786400861b08b78e6ad849ea62.jpg;X;X;5;1
42;1ce8e986b4f49fa00ebf96b3e64ea226326e87af.jpg;X;X;4;2
180;150506b1a479dde8206087889ea9fe3ffc99b335.jpg;X;1;8;0
37;2140017c78aa8e9c5bf87a6f9483d44770327d2e.jpg;X;X;3;7
74;12f3b49b495578fc3faae1bb7dc9905affd92ed4.jpg;X;X;7;4
72;1b23bde5f77d2cfd61390ea9fe4e344a8d9c6df4.jpg;X;X;7;2
262;1622e1262c3371b16db3e742fed5f1237f59b8c0.jpg;X;2;6;2
35;0ed563ebf44130ed276f07324008b28d88d5f36c.jpg;X;X;3;5
43;21d38316dc24cd67c7f1dc715160f4b736052d86.jpg;X;X;4;3
92;13ca152e604837be2bdc660df2877bf415bb193b.jpg;X;X;9;2
226;18481f9c1d4d92698fd9c957703749a04d15058f.jpg;X;2;2;6
30;0e403444174002e29f29f6805f8aaf1a503340d8.jpg;X;X;3;0
194;087326912b4350ffaacdcb9fcee037447977441d.jpg;X;1;9;4
49;22693110d9402616cddb934a401ebc21f18f3d57.jpg;X;X;4;9
